1	Q23563
2	Q23564
18	Q23565
30	Q23566
60	Q23567
64	Q23568
65	Q23569
96	Q23570
107	Q23571
119	Q23572
121	Q23573
128	Q23574
131	Q23575
133	Q23577
136	Q23578
137	Q23579
138	Q23580
143	Q23581
167	Q23582
183	Q23583
194	Q23584
231	Q23585
239	Q23586
242	Q23587
262	Q23588
263	Q23589
273	Q23590
276	Q23591
282	Q23592
286	Q23593
289	Q23594
290	Q23595
299	Q23596
308	Q23597
309	Q23598
338	Q23600
342	Q23601
343	Q23602
349	Q23603
379	Q23604
384	Q23605
394	Q23606
398	Q23607
405	Q23608
407	Q23609
408	Q23610
410	Q23611
419	Q23612
423	Q23613
436	Q23614
451	Q23615
454	Q23616
455	Q23617
463	Q23618
486	Q23619
496	Q23620
504	Q23621
541	Q23622
543	Q23623
556	Q23624
572	Q23625
578	Q23626
580	Q23627
591	Q23628
594	Q23629
600	Q23630
609	Q23631
666	Q23632
689	Q23633
693	Q23634
719	Q23635
725	Q23636
731	Q23637
746	Q23638
752	Q23639
756	Q23640
757	Q23641
778	Q23642
792	Q23643
794	Q23644
799	Q23645
800	Q23646
822	Q23647
828	Q23648
829	Q23649
832	Q23650
841	Q23651
845	Q23652
846	Q23653
854	Q23654
875	Q23655
892	Q23656
894	Q23657
901	Q23658
914	Q23659
919	Q23660
920	Q23661
923	Q23662
926	Q23663
956	Q23664
957	Q23665
961	Q23666
966	Q23667
967	Q23668
987	Q23669
989	Q23670
990	Q23671
992	Q23672
1056	Q23673
1071	Q23674
1096	Q23675
1117	Q23676
1137	Q23677
1157	Q23678
1162	Q23679
1168	Q23680
1191	Q23681
1206	Q23682
1208	Q23683
1209	Q23684
1211	Q23685
1228	Q23686
1229	Q23687
1230	Q23688
1236	Q23689
1238	Q23690
1249	Q23691
1251	Q23692
1277	Q23693
1287	Q23694
1293	Q23695
1294	Q23696
1295	Q23697
1303	Q23698
1313	Q23699
1348	Q23700
1349	Q23701
1357	Q23702
1372	Q23703
1373	Q23704
1380	Q23705
1382	Q23706
1389	Q23707
1412	Q23708
1414	Q23709
1417	Q23710
1438	Q23711
1444	Q23712
1445	Q23713
1447	Q23714
1455	Q23715
1461	Q23716
1463	Q23717
1472	Q23718
1479	Q23719
1480	Q23720
1489	Q23721
1500	Q23722
1511	Q23723
1523	Q23724
1536	Q23725
2942	Q23726
2948	Q23727
2962	Q23728
2963	Q23729
2980	Q23730
3006	Q23731
3017	Q23732
3022	Q23733
3024	Q23734
3070	Q23735
3140	Q23736
3154	Q23737
3171	Q23738
3175	Q23739
3210	Q23740
3223	Q23741
3224	Q23742
3228	Q23743
3260	Q23744
3266	Q23745
3274	Q23746
3286	Q23747
3290	Q23748
3306	Q23749
3334	Q23750
3335	Q23751
3346	Q23752
3362	Q23753
3372	Q23754
3378	Q23755
3388	Q23756
3401	Q23757
3432	Q23758
3450	Q23759
3478	Q23760
3492	Q23761
3497	Q23762
3501	Q23763
3518	Q23764
3527	Q23765
3530	Q23766
3540	Q23767
3544	Q23768
3567	Q23769
3574	Q23770
3595	Q23771
3598	Q23772
3619	Q23773
3635	Q23774
3649	Q23775
3660	Q23776
3678	Q23777
3681	Q23778
3688	Q23779
3700	Q23780
3702	Q23781
3714	Q23782
3727	Q23783
3730	Q23784
3737	Q23785
3751	Q23786
3779	Q23787
3796	Q23788
3804	Q23789
3876	Q23790
3886	Q23791
3892	Q23792
3904	Q23793
3918	Q23794
3937	Q23795
3943	Q23796
3945	Q23797
3947	Q23798
3954	Q23799
3983	Q23800
3984	Q23801
4043	Q23802
4058	Q23803
4101	Q23804
4111	Q23805
4115	Q23806
4158	Q23807
4211	Q23808
4216	Q23809
4220	Q23810
4223	Q23811
4226	Q23812
4228	Q23813
4232	Q23814
4257	Q23815
4258	Q23816
4276	Q23817
4284	Q23818
4301	Q23819
4322	Q23820
4331	Q23821
4333	Q23822
4355	Q23823
4358	Q23824
4374	Q23825
4385	Q23826
4406	Q23827
4411	Q23828
4414	Q23829
4423	Q23830
4431	Q23831
4443	Q23832
4447	Q23833
4465	Q23834
4477	Q23835
4482	Q23836
4489	Q23837
4504	Q23838
4508	Q23839
4516	Q23840
4524	Q23841
4554	Q23842
4562	Q23843
4576	Q23844
4659	Q23845
4690	Q23846
4691	Q23847
4694	Q23848
4710	Q23849
4715	Q23850
4716	Q23851
4723	Q23852
4750	Q23853
4808	Q23854
4839	Q23855
4844	Q23856
4845	Q23857
4847	Q23858
4894	Q23859
4899	Q23860
4928	Q23861
4945	Q23862
4949	Q23863
4980	Q23864
4988	Q23865
5003	Q23866
5004	Q23867
5009	Q23868
5015	Q23869
5027	Q23870
5052	Q23871
5064	Q23872
5077	Q23873
5120	Q23874
5135	Q23875
5143	Q23876
5156	Q23877
5187	Q23878
5195	Q23879
5219	Q23880
5230	Q23881
5239	Q23882
5242	Q23883
5243	Q23884
5248	Q23885
5268	Q23886
5272	Q23887
5282	Q23888
5299	Q23889
5311	Q23890
5320	Q23891
5322	Q23892
5330	Q23893
5352	Q23894
5362	Q23895
5367	Q23896
5391	Q23897
5406	Q23898
5418	Q23899
5432	Q23900
5455	Q23901
5457	Q23902
5477	Q23903
5480	Q23904
5515	Q23905
5527	Q23906
5552	Q23907
5569	Q23908
5573	Q23909
5588	Q23910
5639	Q23911
5649	Q23912
5667	Q23913
5680	Q23914
5695	Q23915
5704	Q23916
5715	Q23917
5726	Q23918
5745	Q23919
5754	Q23920
5759	Q23921
5764	Q23922
5769	Q23923
5774	Q23924
5778	Q23925
5779	Q23926
5807	Q23927
5819	Q23928
5823	Q23929
5831	Q23930
5911	Q23931
5914	Q23932
5929	Q23933
5968	Q23934
5974	Q23935
5977	Q23936
6030	Q23937
6046	Q23938
6117	Q23939
6118	Q23940
6124	Q23941
6145	Q23942
6171	Q23943
6173	Q23944
6231	Q23945
6312	Q23946
6314	Q23947
6325	Q23948
6349	Q23949
6354	Q23950
6392	Q23951
6393	Q23952
6403	Q23953
6409	Q23954
6416	Q23955
6451	Q23956
6490	Q23957
6493	Q23958
6497	Q23959
6538	Q23960
6545	Q23961
6549	Q23962
6570	Q23963
6575	Q23964
6596	Q23965
6597	Q23966
6626	Q23967
6708	Q23968
6729	Q23969
6742	Q23970
6746	Q23971
6748	Q23972
6762	Q23973
6805	Q23974
6816	Q23975
6823	Q23976
6828	Q23977
6831	Q23978
6839	Q23979
6844	Q23980
6856	Q23981
6878	Q23982
6911	Q23983
6955	Q23984
6984	Q23985
6988	Q23986
7018	Q23987
7036	Q23988
7068	Q23989
7190	Q23990
7195	Q23991
7203	Q23992
7218	Q23993
7252	Q23994
7263	Q23995
7266	Q23996
7271	Q23997
7274	Q23998
7290	Q23999
7296	Q24000
7404	Q24001
7414	Q24002
7420	Q24003
7428	Q24004
7430	Q24005
7440	Q24006
7488	Q24007
7496	Q24008
7509	Q24009
7516	Q24010
7523	Q24011
7537	Q24012
7546	Q24013
7552	Q24014
7574	Q24015
7577	Q24016
7579	Q24017
7610	Q24018
7618	Q24019
7641	Q24020
7645	Q24021
7648	Q24022
7659	Q24023
7660	Q24024
7662	Q24025
7693	Q24026
7695	Q24027
