objectid	izena_nombre	longitude	latitude	izena	nombre
6738	Larreako haitzulo artifiziala 5 / Cueva artificial de Larrea 5	-2,55940965499997	42,706976809	Larreako haitzulo artifiziala 5	Cueva artificial de Larrea 5
6739	Larreako haitzulo artifiziala 6 / Cueva artificial de Larrea 6	-2,55890392599997	42,7076953050001	Larreako haitzulo artifiziala 6	Cueva artificial de Larrea 6
6740	Larreako haitzulo artifiziala 7 / Cueva artificial de Larrea 7	-2,55857423999993	42,707694035	Larreako haitzulo artifiziala 7	Cueva artificial de Larrea 7
6741	Larreako haitzulo artifiziala 8 / Cueva artificial de Larrea 8	-2,55690979699995	42,7099389910001	Larreako haitzulo artifiziala 8	Cueva artificial de Larrea 8
6742	Larreako haitzulo artifiziala 9 / Cueva artificial de Larrea 9	-2,55564499499997	42,710924699	Larreako haitzulo artifiziala 9	Cueva artificial de Larrea 9
6743	Las Gobas haitzulo artifiziala 10 / Cueva artificial de Las Gobas 10	-2,62750512699995	42,674978588	Las Gobas haitzulo artifiziala 10	Cueva artificial de Las Gobas 10
6744	Las Gobas haitzulo artifiziala 11 / Cueva artificial de Las Gobas 11	-2,62753007299995	42,6748886130001	Las Gobas haitzulo artifiziala 11	Cueva artificial de Las Gobas 11
6745	Las Gobas haitzulo artifiziala 12 / Cueva artificial de Las Gobas 12	-2,62753061099994	42,6747985590001	Las Gobas haitzulo artifiziala 12	Cueva artificial de Las Gobas 12
6746	Las Gobas haitzulo artifiziala 13 / Cueva artificial de Las Gobas 13	-2,62863864499997	42,6731811510001	Las Gobas haitzulo artifiziala 13	Cueva artificial de Las Gobas 13
6747	Las Gobas _Dotora haitzulo artifiziala 1 / Cueva artificial de Las Gobas 1_La Dotora	-2,62765786899996	42,6759696990001	Las Gobas _Dotora haitzulo artifiziala 1	Cueva artificial de Las Gobas 1_La Dotora
6748	Las Gobas haitzulo artifiziala 2 / Cueva artificial de Las Gobas 2	-2,62734270399994	42,6756084510001	Las Gobas haitzulo artifiziala 2	Cueva artificial de Las Gobas 2
6749	Las Gobas haitzulo artifiziala 3 / Cueva artificial de Las Gobas 3	-2,62728222099997	42,6755181980001	Las Gobas haitzulo artifiziala 3	Cueva artificial de Las Gobas 3
6750	Las Gobas haitzulo artifiziala 4 / Cueva artificial de Las Gobas 4	-2,62735598499995	42,6754283820001	Las Gobas haitzulo artifiziala 4	Cueva artificial de Las Gobas 4
6751	Las Gobas haitzulo artifiziala 5 / Cueva artificial de Las Gobas 5	-2,62733211399996	42,6753382490001	Las Gobas haitzulo artifiziala 5	Cueva artificial de Las Gobas 5
6752	Las Gobas haitzulo artifiziala 6 / Cueva artificial de Las Gobas 6	-2,62740587799993	42,675248433	Las Gobas haitzulo artifiziala 6	Cueva artificial de Las Gobas 6
6753	Las Gobas haitzulo artifiziala 7 / Cueva artificial de Las Gobas 7	-2,62743028699993	42,6752485120001	Las Gobas haitzulo artifiziala 7	Cueva artificial de Las Gobas 7
6754	Las Gobas haitzulo artifiziala 8 / Cueva artificial de Las Gobas 8	-2,62747964199997	42,6751586170001	Las Gobas haitzulo artifiziala 8	Cueva artificial de Las Gobas 8
6755	Linareseko haitzulo artifiziala 1 / Cueva artificial de Linares 1	-3,09949141699997	42,7972053980001	Linareseko haitzulo artifiziala 1	Cueva artificial de Linares 1
