mid	status	title	url
M98247465	ok	File:Tobera palanka, eusteko sokak eta lau burdinazko makila.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98247465
M98248149	ok	File:Otsagabiako dantzarien makilak.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98248149
M98249079	ok	File:Triangelu arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98249079
M98250103	ok	File:Juan Carlos Roel 'Tarrañuelas'. Bilbo, 1997.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250103
M98250275	ok	File:Kastaineta txikiak.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250275
M98250527	ok	File:Juan Mari Beltran koilarak jotzen. Oiartzun, 1999.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250527
M98250656	ok	File:Jesús Unanua kalaka edo konpeleta jotzen. Muez, 1985.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250656
M98251080	ok	File:Matraka.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251080
M98251157	ok	File:Juan Mari Beltran Argiñena matraka jotzen. Oiartzun, 2018.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251157
M98251789	ok	File:Migel Iturbide panderoa jotzen. Donostia, 1984.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251789
M98251898	ok	File:Kanabera arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251898
M98251999	ok	File:Kilikalaska.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98251999
M98252097	ok	File:Juan Mari Beltran kilikalaska jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98252097
M98252418	ok	File:Juan Mari Beltran txepetxa jotzen. Oiartzun, 1999.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98252418
M98252712	ok	File:Gizona igurtzitako anis botila jotzen. Oiartzun, 1999.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98252712
M98252793	ok	File:Kaskamelana.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98252793
M98253119	ok	File:Igela.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98253119
M98253282	ok	File:Kaskabeleta.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98253282
M98253417	ok	File:Kaskabeleta joaldia.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98253417
M98254522	ok	File:Lizarrako Gaiteroak. Oiartzun, 2002-07-06.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98254522
M98254738	ok	File:Kaxa (soinu-tresna).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98254738
M98255095	ok	File:Leon Telleria eltzegorra jotzen. Idiazabal, 1979.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98255095
M98259749	ok	File:Pastikozko orrazia menbranofono bihurtuta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98259749
