pageid	qid
226524	Q7104
901186	Q7105
74389	Q7106
587258	Q7107
119821	Q7108
900924	Q7109
99624	Q7110
79707	Q7111
900938	Q7112
900959	Q7113
120655	Q7114
901004	Q7115
840811	Q7116
900085	Q7117
901177	Q7118
901191	Q7119
395738	Q7120
395720	Q7121
573774	Q7122
587123	Q7123
900711	Q7124
900269	Q7125
119826	Q7126
119830	Q7127
901182	Q7128
900957	Q7129
900852	Q7130
900751	Q7131
900929	Q7132
900947	Q7133
869034	Q7134
835159	Q7135
900789	Q7136
901192	Q7137
120647	Q7138
901005	Q7139
900943	Q7140
900753	Q7141
900981	Q7142
900986	Q7143
395780	Q7144
751198	Q7145
1266166	Q7146
119833	Q7147
699930	Q7148
900472	Q7149
119835	Q7150
119651	Q7151
119713	Q7152
901156	Q7153
900918	Q7154
1006949	Q7155
119654	Q7156
889077	Q7157
395742	Q7158
63473	Q7159
1003057	Q7160
395791	Q7161
748062	Q7162
900186	Q7163
870642	Q7164
748002	Q7165
121053	Q7166
67759	Q7167
900767	Q7168
226484	Q7169
1108663	Q7170
901179	Q7171
1095867	Q7172
900188	Q7173
120662	Q7174
731107	Q7175
429947	Q7176
92956	Q7177
395725	Q7178
901189	Q7179
901007	Q7180
140566	Q7181
140567	Q7182
655238	Q7183
900905	Q7184
900934	Q7185
1068369	Q7186
899803	Q7187
120547	Q7188
840047	Q7189
1032417	Q7190
120551	Q7191
900339	Q7192
1032442	Q7193
901030	Q7194
120554	Q7195
901027	Q7196
74899	Q7197
901029	Q7198
900606	Q7199
740964	Q7200
699925	Q7201
743470	Q7202
900774	Q7203
120560	Q7204
1108661	Q7205
241796	Q7206
900988	Q7207
1183222	Q7208
120635	Q7209
900690	Q7210
900853	Q7211
120721	Q7212
900941	Q7213
59450	Q7214
699918	Q7215
900936	Q7216
698215	Q7217
120172	Q7218
135933	Q7219
900394	Q7220
900854	Q7221
1032446	Q7222
1034385	Q7223
119731	Q7224
395108	Q7225
647094	Q7226
731864	Q7227
900876	Q7228
120513	Q7229
734169	Q7230
900940	Q7231
900930	Q7232
140534	Q7233
900932	Q7234
748071	Q7235
900901	Q7236
57145	Q7237
366349	Q7238
648760	Q7239
698053	Q7240
900952	Q7241
49802	Q7242
593942	Q7243
587121	Q7244
596389	Q7245
748078	Q7246
87518	Q7247
731652	Q7248
48660	Q7249
1275423	Q7250
1206103	Q7251
395913	Q7252
226339	Q7253
593456	Q7254
115789	Q7255
595277	Q7256
595129	Q7257
593470	Q7258
859369	Q7259
395732	Q7260
112962	Q7261
568082	Q7262
748394	Q7263
900218	Q7264
365897	Q7265
117209	Q7266
573262	Q7267
101562	Q7268
900526	Q7269
1048154	Q7270
593374	Q7271
69664	Q7272
111972	Q7273
898028	Q7274
586643	Q7275
731972	Q7276
593098	Q7277
100998	Q7278
54253	Q7279
100999	Q7280
586576	Q7281
1275525	Q7282
395771	Q7283
859704	Q7284
112976	Q7285
590273	Q7286
101277	Q7287
395909	Q7288
586505	Q7289
585826	Q7290
859419	Q7291
293261	Q7292
1035514	Q7293
586624	Q7294
395794	Q7295
573437	Q7296
101850	Q7297
395795	Q7298
64468	Q7299
866229	Q7300
572417	Q7301
54301	Q7302
731419	Q7303
101382	Q7304
866358	Q7305
859231	Q7306
120726	Q7307
101383	Q7308
593315	Q7309
596163	Q7310
747999	Q7311
113001	Q7312
593375	Q7313
123774	Q7314
73191	Q7315
595079	Q7316
596591	Q7317
586613	Q7318
1205288	Q7319
114945	Q7320
44319	Q7321
64301	Q7322
900533	Q7323
859539	Q7324
596442	Q7325
147632	Q7326
395766	Q7327
1182278	Q7328
111845	Q7329
975941	Q7330
859311	Q7331
866334	Q7332
88033	Q7333
900535	Q7334
114956	Q7335
596521	Q7336
395793	Q7337
593453	Q7338
866374	Q7339
593451	Q7340
592834	Q7341
866359	Q7342
573441	Q7343
900518	Q7344
586345	Q7345
1239065	Q7346
596034	Q7347
1034779	Q7348
593471	Q7349
731050	Q7350
586354	Q7351
900919	Q7352
1205287	Q7353
596520	Q7354
866386	Q7355
586581	Q7356
395749	Q7357
115537	Q7358
226480	Q7359
596622	Q7360
92195	Q7361
900441	Q7362
900566	Q7363
900567	Q7364
146997	Q7365
1278696	Q7366
116802	Q7367
100558	Q7368
900536	Q7369
568118	Q7370
900502	Q7371
112489	Q7372
859420	Q7373
596523	Q7374
577465	Q7375
859540	Q7376
747980	Q7377
1048161	Q7378
70659	Q7379
859413	Q7380
750758	Q7381
586674	Q7382
1028936	Q7383
586560	Q7384
1025242	Q7385
1238707	Q7386
859397	Q7387
590596	Q7388
859427	Q7389
54143	Q7390
573788	Q7391
573784	Q7392
866355	Q7393
39570	Q7394
859405	Q7395
596658	Q7396
900534	Q7397
900538	Q7398
77720	Q7399
93341	Q7400
734536	Q7401
64383	Q7402
1275618	Q7403
101558	Q7404
593102	Q7405
573484	Q7406
98657	Q7407
101492	Q7408
594074	Q7409
732632	Q7410
593671	Q7411
1206344	Q7412
227088	Q7413
596472	Q7414
100556	Q7415
1205948	Q7416
897322	Q7417
977054	Q7418
586506	Q7419
50915	Q7420
395912	Q7421
596708	Q7422
654040	Q7423
900912	Q7424
100557	Q7425
117219	Q7426
295142	Q7427
586409	Q7428
101559	Q7429
395763	Q7430
590459	Q7431
237861	Q7432
866237	Q7433
1048176	Q7434
116981	Q7435
730719	Q7436
101685	Q7437
100628	Q7438
568117	Q7439
900849	Q7440
866240	Q7441
568023	Q7442
116983	Q7443
866239	Q7444
586206	Q7445
900806	Q7446
1096045	Q7447
859381	Q7448
897281	Q7449
748074	Q7450
900537	Q7451
748081	Q7452
939388	Q7453
899635	Q7454
165432	Q7455
1034767	Q7456
596439	Q7457
900910	Q7458
117040	Q7459
595078	Q7460
100562	Q7461
596594	Q7462
121487	Q7463
596444	Q7464
733582	Q7465
68274	Q7466
579405	Q7467
301408	Q7468
383470	Q7469
301532	Q7470
675640	Q7471
158286	Q7472
430533	Q7473
163925	Q7474
675563	Q7475
1009214	Q7476
730316	Q7477
675573	Q7478
675650	Q7479
731605	Q7480
675846	Q7481
730428	Q7482
655340	Q7483
165155	Q7484
123197	Q7485
675330	Q7486
731606	Q7487
113130	Q7488
430617	Q7489
301384	Q7490
301412	Q7491
301406	Q7492
430955	Q7493
675323	Q7494
675576	Q7495
579433	Q7496
1270267	Q7497
675631	Q7498
676005	Q7499
579407	Q7500
676002	Q7501
158147	Q7502
655424	Q7503
730734	Q7504
730533	Q7505
676004	Q7506
900654	Q7507
645589	Q7508
675632	Q7509
579430	Q7510
679574	Q7511
164234	Q7512
164252	Q7513
731805	Q7514
1073434	Q7515
1072326	Q7516
679789	Q7517
164280	Q7518
163909	Q7519
76322	Q7520
58376	Q7521
1072179	Q7522
301620	Q7523
1073158	Q7524
1073263	Q7525
111786	Q7526
238392	Q7527
122868	Q7528
1110049	Q7529
196281	Q7530
841006	Q7531
1073488	Q7532
1010978	Q7533
1072517	Q7534
1071756	Q7535
1072086	Q7536
585870	Q7537
1071579	Q7538
1072323	Q7539
734901	Q7540
117513	Q7541
1071554	Q7542
163915	Q7543
1073290	Q7544
1073282	Q7545
1071412	Q7546
1072431	Q7547
1072832	Q7548
1072880	Q7549
238415	Q7550
163920	Q7551
679703	Q7552
1071585	Q7553
193331	Q7554
584092	Q7555
587291	Q7556
588730	Q7557
585781	Q7558
588725	Q7559
200255	Q7560
585787	Q7561
586221	Q7562
205305	Q7563
