pageid	qid
root	Q4
1060360	Q449
520876	Q450
898528	Q451
972061	Q452
225124	Q453
140421	Q454
841836	Q455
374089	Q456
1172869	Q457
375922	Q458
163656	Q459
645629	Q460
647201	Q461
573492	Q462
142937	Q463
243062	Q464
517746	Q465
226203	Q466
659851	Q467
574170	Q468
34055	Q469
742328	Q470
742327	Q471
744884	Q472
1112609	Q473
302097	Q474
144100	Q475
590058	Q476
144001	Q477
746935	Q478
735108	Q479
142943	Q480
227595	Q481
339891	Q482
1204605	Q483
944390	Q484
944376	Q485
229067	Q486
566076	Q487
143840	Q488
574171	Q489
143862	Q490
341101	Q491
143865	Q492
398542	Q493
143870	Q494
365301	Q495
399158	Q496
886356	Q497
944380	Q498
944384	Q499
944397	Q500
570722	Q501
398964	Q502
944394	Q503
1013064	Q504
587082	Q505
121030	Q506
618742	Q507
85608	Q508
648637	Q509
736789	Q510
295145	Q511
114656	Q512
146725	Q513
205349	Q514
654137	Q515
1265676	Q516
719942	Q517
645573	Q518
729086	Q519
908985	Q520
599580	Q521
147493	Q522
140650	Q523
1196553	Q524
82998	Q525
1172727	Q526
291996	Q527
1264610	Q528
1264608	Q529
1252152	Q530
892697	Q531
934260	Q532
720935	Q533
481923	Q534
934258	Q535
892695	Q536
1089302	Q537
892694	Q538
482209	Q539
481924	Q540
482881	Q541
892687	Q542
428658	Q543
934257	Q544
934259	Q545
1255313	Q546
1255314	Q547
720859	Q548
892696	Q549
968738	Q550
870641	Q551
892691	Q552
909141	Q553
570717	Q554
720873	Q555
1085885	Q556
738609	Q557
367686	Q558
367400	Q559
160869	Q560
388242	Q561
1252259	Q562
1192921	Q563
482793	Q564
1219993	Q565
578885	Q566
969228	Q567
970823	Q568
588858	Q569
150958	Q570
1219995	Q571
577727	Q572
577724	Q573
292299	Q574
1263004	Q575
686539	Q576
998154	Q577
669836	Q578
573848	Q579
573851	Q580
573854	Q581
227068	Q582
669835	Q583
1242014	Q584
1242015	Q585
732673	Q586
1194013	Q587
616918	Q588
1059954	Q589
149582	Q590
79672	Q591
11030	Q592
939101	Q593
616917	Q594
891009	Q595
1177258	Q596
939077	Q597
292304	Q598
733324	Q599
336375	Q600
1272843	Q601
143912	Q602
573855	Q603
1088075	Q604
143966	Q605
144937	Q606
142315	Q607
1034853	Q608
1236950	Q609
589736	Q610
669878	Q611
147439	Q612
22088	Q613
123487	Q614
142278	Q615
1078593	Q616
670096	Q617
670488	Q618
583768	Q619
143963	Q620
997824	Q621
145890	Q622
726089	Q623
1255315	Q624
983694	Q625
675100	Q626
143896	Q627
340153	Q628
145452	Q629
292297	Q630
1056286	Q631
242676	Q632
295738	Q633
482243	Q634
144000	Q635
482251	Q636
482246	Q637
292301	Q638
944392	Q639
1173815	Q640
82141	Q641
82165	Q642
111817	Q643
101338	Q644
111832	Q645
44489	Q646
111830	Q647
669506	Q648
669841	Q649
721175	Q650
686528	Q651
686599	Q652
669201	Q653
674309	Q654
1249279	Q655
1087092	Q656
674503	Q657
1097267	Q658
685644	Q659
859618	Q660
721176	Q661
744625	Q662
744502	Q663
744671	Q664
744593	Q665
744591	Q666
702399	Q667
686962	Q668
669067	Q669
378300	Q670
1086001	Q671
654105	Q672
686612	Q673
363338	Q674
286089	Q675
144568	Q676
645376	Q677
43322	Q678
482822	Q679
734728	Q680
670052	Q681
1238207	Q682
141679	Q683
1255310	Q684
582169	Q685
421186	Q686
1262312	Q687
984596	Q688
521320	Q689
521322	Q690
540632	Q691
143169	Q692
143101	Q693
76392	Q694
149087	Q695
62847	Q696
1171335	Q697
67692	Q698
149767	Q699
1133272	Q700
116974	Q701
1107680	Q702
328470	Q703
302062	Q704
19193	Q705
1070817	Q706
1088763	Q707
227372	Q708
163514	Q709
896759	Q710
10643	Q711
596861	Q712
686938	Q713
984772	Q714
675959	Q715
670075	Q716
653499	Q717
590151	Q718
1211337	Q719
590148	Q720
590149	Q721
590147	Q722
1026643	Q723
144796	Q724
653337	Q725
1072069	Q726
341249	Q727
341247	Q728
341246	Q729
643506	Q730
643512	Q731
894290	Q732
1028103	Q733
933165	Q734
643515	Q735
643502	Q736
647200	Q737
643516	Q738
643503	Q739
643505	Q740
643508	Q741
643501	Q742
596482	Q743
596484	Q744
1246758	Q745
239731	Q746
119203	Q747
375546	Q748
341250	Q749
848962	Q750
594324	Q751
225102	Q752
126904	Q753
968838	Q754
126905	Q755
161639	Q756
652035	Q757
1084493	Q758
126906	Q759
52581	Q760
126908	Q761
591820	Q762
60133	Q763
109534	Q764
328471	Q765
203795	Q766
227057	Q767
111166	Q768
947079	Q769
648209	Q770
328472	Q771
146819	Q772
42709	Q773
7528	Q774
372560	Q775
947081	Q776
983214	Q777
372557	Q778
372558	Q779
547275	Q780
1016282	Q781
165262	Q782
631511	Q783
142617	Q784
149848	Q785
225095	Q786
930256	Q787
231015	Q788
365811	Q789
849026	Q790
652118	Q791
578825	Q792
648201	Q793
616919	Q794
292627	Q795
1051789	Q796
226834	Q797
337870	Q798
1241217	Q799
375888	Q800
23125	Q801
616920	Q802
292628	Q803
1051785	Q804
226832	Q805
375886	Q806
23129	Q807
1026165	Q808
227093	Q809
143415	Q810
616915	Q811
23132	Q812
1049425	Q813
292630	Q814
1051786	Q815
226833	Q816
667192	Q817
292631	Q818
1051787	Q819
226836	Q820
292633	Q821
1051792	Q822
564483	Q823
717463	Q824
237411	Q825
143524	Q826
23155	Q827
292632	Q828
1051788	Q829
656297	Q830
656292	Q831
933514	Q832
70203	Q833
654032	Q834
656704	Q835
656701	Q836
686258	Q837
666560	Q838
743444	Q839
725502	Q840
931599	Q841
591319	Q842
725580	Q843
1197452	Q844
616343	Q845
686260	Q846
52342	Q847
585865	Q848
656248	Q849
740939	Q850
666480	Q851
932233	Q852
1081053	Q853
686263	Q854
691652	Q855
616416	Q856
666466	Q857
656260	Q858
658952	Q859
666485	Q860
616409	Q861
906308	Q862
873513	Q863
932234	Q864
617321	Q865
686259	Q866
576641	Q867
666447	Q868
596764	Q869
666471	Q870
666460	Q871
661795	Q872
690928	Q873
666438	Q874
723184	Q875
932224	Q876
932225	Q877
1183215	Q878
646952	Q879
573810	Q880
302254	Q881
973418	Q882
573811	Q883
973404	Q884
669645	Q885
302202	Q886
302427	Q887
302448	Q888
302105	Q889
1214423	Q890
302184	Q891
302183	Q892
387047	Q893
302284	Q894
302280	Q895
520949	Q896
302274	Q897
302418	Q898
747780	Q899
142256	Q900
302034	Q901
302423	Q902
302406	Q903
302151	Q904
302272	Q905
302453	Q906
894895	Q907
368437	Q908
302178	Q909
302123	Q910
434944	Q911
302129	Q912
520958	Q913
302190	Q914
520947	Q915
302457	Q916
302451	Q917
302143	Q918
302402	Q919
302397	Q920
302140	Q921
845352	Q922
301081	Q923
302250	Q924
302428	Q925
302153	Q926
586583	Q927
302413	Q928
302039	Q929
302198	Q930
438409	Q931
302195	Q932
906374	Q933
849442	Q934
302090	Q935
849864	Q936
973390	Q937
302264	Q938
754489	Q939
646870	Q940
546978	Q941
646876	Q942
301180	Q943
570783	Q944
646882	Q945
580266	Q946
646874	Q947
655442	Q948
646890	Q949
595384	Q950
646841	Q951
646900	Q952
587396	Q953
646902	Q954
604338	Q955
587406	Q956
646880	Q957
646835	Q958
646837	Q959
646846	Q960
643513	Q961
646842	Q962
646849	Q963
646844	Q964
649338	Q965
647933	Q966
656309	Q967
587584	Q968
1019628	Q969
643441	Q970
646804	Q971
649270	Q972
850956	Q973
368439	Q974
618859	Q975
644275	Q976
647677	Q977
479006	Q978
885572	Q979
719213	Q980
647934	Q981
1250905	Q982
1052757	Q983
646803	Q984
647649	Q985
646802	Q986
656306	Q987
907907	Q988
648119	Q989
585555	Q990
618854	Q991
687513	Q992
142450	Q993
618683	Q994
647667	Q995
1086303	Q996
850958	Q997
587585	Q998
618842	Q999
585548	Q1000
618845	Q1001
585537	Q1002
1025298	Q1003
751557	Q1004
906422	Q1005
907906	Q1006
587583	Q1007
687508	Q1008
1086304	Q1009
1019630	Q1010
1038536	Q1011
587586	Q1012
597981	Q1013
645626	Q1014
576887	Q1015
647937	Q1016
618685	Q1017
646859	Q1018
646916	Q1019
646919	Q1020
579960	Q1021
229856	Q1022
573807	Q1023
573797	Q1024
573803	Q1025
573805	Q1026
436756	Q1027
751191	Q1028
939129	Q1029
939106	Q1030
751185	Q1031
751194	Q1032
751197	Q1033
751172	Q1034
1071372	Q1035
968399	Q1036
1077410	Q1037
971757	Q1038
751186	Q1039
751193	Q1040
1236607	Q1041
751189	Q1042
756143	Q1043
1189100	Q1044
972187	Q1045
730164	Q1046
57395	Q1047
771974	Q1048
756141	Q1049
756144	Q1050
756147	Q1051
756142	Q1052
939375	Q1053
1065722	Q1054
1204643	Q1055
756132	Q1056
756145	Q1057
840406	Q1058
887095	Q1059
893057	Q1060
1264483	Q1061
730125	Q1062
979739	Q1063
1104137	Q1064
971727	Q1065
969700	Q1066
890943	Q1067
971695	Q1068
881898	Q1069
730128	Q1070
384890	Q1071
46809	Q1072
1089689	Q1073
971755	Q1074
1129353	Q1075
908986	Q1076
1221030	Q1077
1264518	Q1078
1062915	Q1079
1209983	Q1080
971726	Q1081
1140331	Q1082
895201	Q1083
1221074	Q1084
731279	Q1085
906988	Q1086
1210267	Q1087
884435	Q1088
897413	Q1089
887283	Q1090
1210600	Q1091
469480	Q1092
670284	Q1093
140647	Q1094
739823	Q1095
479760	Q1096
886134	Q1097
590688	Q1098
5991	Q1099
479405	Q1100
479342	Q1101
23150	Q1102
23142	Q1103
142845	Q1104
459521	Q1105
57287	Q1106
1036533	Q1107
434505	Q1108
987213	Q1109
80465	Q1110
720248	Q1111
57194	Q1112
669598	Q1113
1022169	Q1114
737301	Q1115
642488	Q1116
102430	Q1117
102415	Q1118
908785	Q1119
65433	Q1120
729388	Q1121
878618	Q1122
724911	Q1123
865733	Q1124
602404	Q1125
49351	Q1126
1210270	Q1127
725241	Q1128
225068	Q1129
969594	Q1130
1209111	Q1131
366413	Q1132
725236	Q1133
725235	Q1134
1260045	Q1135
725239	Q1136
725240	Q1137
601825	Q1138
601828	Q1139
858987	Q1140
1226452	Q1141
858983	Q1142
57397	Q1143
651801	Q1144
1217465	Q1145
858986	Q1146
858980	Q1147
884437	Q1148
1273338	Q1149
939117	Q1150
248711	Q1151
1240970	Q1152
968419	Q1153
1087669	Q1154
59973	Q1155
755702	Q1156
1036442	Q1157
1268769	Q1158
968009	Q1159
1087311	Q1160
669972	Q1161
590060	Q1162
590055	Q1163
590063	Q1164
590054	Q1165
590047	Q1166
226838	Q1167
226831	Q1168
142272	Q1169
226816	Q1170
226839	Q1171
1051165	Q1172
977944	Q1173
653440	Q1174
55829	Q1175
1277830	Q1176
736549	Q1177
1024354	Q1178
1239283	Q1179
301173	Q1180
1254030	Q1181
1246312	Q1182
1255750	Q1183
595226	Q1184
301624	Q1185
1240060	Q1186
573285	Q1187
301086	Q1188
595537	Q1189
1238701	Q1190
366335	Q1191
1259913	Q1192
586578	Q1193
585793	Q1194
1073507	Q1195
301305	Q1196
579443	Q1197
655749	Q1198
655748	Q1199
655747	Q1200
1072513	Q1201
1073145	Q1202
1073140	Q1203
1072882	Q1204
1073437	Q1205
1073153	Q1206
1072579	Q1207
1073144	Q1208
1072367	Q1209
1073149	Q1210
1072325	Q1211
1073138	Q1212
1073147	Q1213
1072578	Q1214
1072231	Q1215
1012489	Q1216
1073161	Q1217
1073143	Q1218
1073150	Q1219
1073286	Q1220
1073146	Q1221
1073028	Q1222
1072514	Q1223
1072878	Q1224
1072835	Q1225
1073152	Q1226
1261121	Q1227
1112340	Q1228
584101	Q1229
1050840	Q1230
1252071	Q1231
585463	Q1232
1076494	Q1233
1076493	Q1234
592955	Q1235
138851	Q1236
293580	Q1237
717464	Q1238
293574	Q1239
293482	Q1240
941185	Q1241
1256556	Q1242
366561	Q1243
666653	Q1244
479321	Q1245
1002873	Q1246
1109783	Q1247
948274	Q1248
850011	Q1249
948278	Q1250
948275	Q1251
948276	Q1252
1032703	Q1253
400831	Q1254
1262434	Q1255
1262429	Q1256
399034	Q1257
616224	Q1258
162481	Q1259
1050834	Q1260
745894	Q1261
103324	Q1262
661726	Q1263
60479	Q1264
580840	Q1265
366677	Q1266
1255778	Q1267
142269	Q1268
142257	Q1269
376100	Q1270
144671	Q1271
374357	Q1272
551573	Q1273
376097	Q1274
551571	Q1275
551570	Q1276
551568	Q1277
551569	Q1278
551572	Q1279
66761	Q1280
846759	Q1281
1186403	Q1282
221984	Q1283
585445	Q1284
595345	Q1285
841945	Q1286
18209	Q1287
63905	Q1288
1066499	Q1289
939535	Q1290
848806	Q1291
1215870	Q1292
931856	Q1293
1078660	Q1294
394518	Q1295
1257046	Q1296
1257020	Q1297
1257017	Q1298
1257027	Q1299
840117	Q1300
139121	Q1301
719436	Q1302
932589	Q1303
229583	Q1304
1097914	Q1305
1050055	Q1306
645028	Q1307
854539	Q1308
632365	Q1309
166327	Q1310
117027	Q1311
606857	Q1312
632027	Q1313
225428	Q1314
118793	Q1315
149629	Q1316
103712	Q1317
1106152	Q1318
743892	Q1319
645261	Q1320
933716	Q1321
901606	Q1322
1082921	Q1323
1055518	Q1324
103711	Q1325
102508	Q1326
297274	Q1327
85251	Q1328
59595	Q1329
845886	Q1330
645032	Q1331
901465	Q1332
611760	Q1333
344372	Q1334
725851	Q1335
61671	Q1336
632226	Q1337
368319	Q1338
241581	Q1339
103702	Q1340
1264647	Q1341
667376	Q1342
1010446	Q1343
1090135	Q1344
992791	Q1345
674601	Q1346
673824	Q1347
87919	Q1348
14111	Q1349
8168	Q1350
697966	Q1351
997192	Q1352
1222056	Q1353
1192038	Q1354
141396	Q1355
128646	Q1356
155661	Q1357
1178186	Q1358
1002026	Q1359
842314	Q1360
841981	Q1361
841944	Q1362
993202	Q1363
1132623	Q1364
238410	Q1365
238408	Q1366
669847	Q1367
238406	Q1368
238412	Q1369
238413	Q1370
481727	Q1371
238411	Q1372
238414	Q1373
1108464	Q1374
242975	Q1375
1204699	Q1376
224454	Q1377
946778	Q1378
242131	Q1379
242980	Q1380
734152	Q1381
1000601	Q1382
932348	Q1383
1204700	Q1384
669870	Q1385
669831	Q1386
939340	Q1387
939336	Q1388
1200078	Q1389
734153	Q1390
227066	Q1391
373967	Q1392
238762	Q1393
238763	Q1394
238764	Q1395
238766	Q1396
238768	Q1397
482745	Q1398
238767	Q1399
238769	Q1400
1112959	Q1401
238757	Q1402
238731	Q1403
1112312	Q1404
1112311	Q1405
238719	Q1406
238759	Q1407
238760	Q1408
1075239	Q1409
1112961	Q1410
143839	Q1411
295916	Q1412
339158	Q1413
143822	Q1414
434903	Q1415
335267	Q1416
1233216	Q1417
894908	Q1418
844954	Q1419
609493	Q1420
846704	Q1421
300316	Q1422
204599	Q1423
302690	Q1424
143826	Q1425
576373	Q1426
866238	Q1427
300760	Q1428
342809	Q1429
151776	Q1430
73823	Q1431
143841	Q1432
302560	Q1433
661575	Q1434
579987	Q1435
733647	Q1436
940824	Q1437
112757	Q1438
433163	Q1439
293590	Q1440
717378	Q1441
619175	Q1442
590605	Q1443
619287	Q1444
434529	Q1445
238862	Q1446
479066	Q1447
842917	Q1448
142249	Q1449
618617	Q1450
237796	Q1451
120089	Q1452
301189	Q1453
301192	Q1454
301077	Q1455
301184	Q1456
301194	Q1457
301187	Q1458
301196	Q1459
140423	Q1460
143819	Q1461
143721	Q1462
1039652	Q1463
143820	Q1464
143838	Q1465
143821	Q1466
729592	Q1467
143825	Q1468
363700	Q1469
1277556	Q1470
339125	Q1471
999849	Q1472
1013382	Q1473
143827	Q1474
726313	Q1475
587415	Q1476
1233039	Q1477
1023539	Q1478
1126441	Q1479
1024178	Q1480
1192034	Q1481
1023519	Q1482
143830	Q1483
143831	Q1484
143723	Q1485
143832	Q1486
726673	Q1487
1018362	Q1488
363111	Q1489
143833	Q1490
1066113	Q1491
164599	Q1492
143725	Q1493
621569	Q1494
143724	Q1495
339286	Q1496
143774	Q1497
143836	Q1498
143837	Q1499
143835	Q1500
143834	Q1501
335229	Q1502
726314	Q1503
137020	Q1504
6105	Q1505
300762	Q1506
851708	Q1507
739920	Q1508
739919	Q1509
739917	Q1510
845098	Q1511
844671	Q1512
434904	Q1513
898954	Q1514
302033	Q1515
434909	Q1516
226016	Q1517
751811	Q1518
1197257	Q1519
237809	Q1520
237798	Q1521
237800	Q1522
237872	Q1523
237807	Q1524
894898	Q1525
894896	Q1526
1112075	Q1527
1112039	Q1528
144096	Q1529
1091318	Q1530
732623	Q1531
1073037	Q1532
715770	Q1533
509329	Q1534
854730	Q1535
143617	Q1536
143619	Q1537
617280	Q1538
617279	Q1539
648116	Q1540
90043	Q1541
61923	Q1542
104492	Q1543
341243	Q1544
479941	Q1545
618850	Q1546
618843	Q1547
541399	Q1548
715926	Q1549
363335	Q1550
754093	Q1551
585840	Q1552
618948	Q1553
1270573	Q1554
1204603	Q1555
1265029	Q1556
102576	Q1557
1109781	Q1558
1109780	Q1559
679158	Q1560
117042	Q1561
644620	Q1562
1185784	Q1563
972221	Q1564
842159	Q1565
644622	Q1566
884436	Q1567
940982	Q1568
726256	Q1569
377774	Q1570
1241606	Q1571
1241607	Q1572
335639	Q1573
240468	Q1574
1048021	Q1575
1182617	Q1576
901607	Q1577
1008854	Q1578
1174600	Q1579
632046	Q1580
934702	Q1581
230865	Q1582
669147	Q1583
1210977	Q1584
1191372	Q1585
1191375	Q1586
1114301	Q1587
1082909	Q1588
1062390	Q1589
67282	Q1590
890281	Q1591
396047	Q1592
292587	Q1593
292590	Q1594
1124915	Q1595
292589	Q1596
617281	Q1597
617283	Q1598
728660	Q1599
653004	Q1600
374360	Q1601
994553	Q1602
1187299	Q1603
851476	Q1604
1222048	Q1605
586283	Q1606
842765	Q1607
842767	Q1608
842807	Q1609
366954	Q1610
842762	Q1611
842768	Q1612
842771	Q1613
842766	Q1614
848966	Q1615
366960	Q1616
842769	Q1617
842770	Q1618
842855	Q1619
9458	Q1620
21708	Q1621
849699	Q1622
849694	Q1623
849705	Q1624
585842	Q1625
585841	Q1626
6175	Q1627
148035	Q1628
342240	Q1629
144939	Q1630
230092	Q1631
585839	Q1632
585838	Q1633
585836	Q1634
907904	Q1635
585835	Q1636
587046	Q1637
632224	Q1638
1050024	Q1639
645029	Q1640
632045	Q1641
848805	Q1642
990016	Q1643
1078291	Q1644
1139060	Q1645
725044	Q1646
368311	Q1647
745147	Q1648
625378	Q1649
1209813	Q1650
881422	Q1651
744538	Q1652
661731	Q1653
1106158	Q1654
1040935	Q1655
632330	Q1656
974492	Q1657
1192389	Q1658
744875	Q1659
632616	Q1660
725020	Q1661
890707	Q1662
1057816	Q1663
632026	Q1664
1065677	Q1665
645415	Q1666
368309	Q1667
1184240	Q1668
1106153	Q1669
634349	Q1670
645259	Q1671
632364	Q1672
634200	Q1673
1055520	Q1674
625340	Q1675
368310	Q1676
1192799	Q1677
745279	Q1678
625252	Q1679
625301	Q1680
625389	Q1681
887588	Q1682
1193167	Q1683
365080	Q1684
645034	Q1685
626699	Q1686
848804	Q1687
741414	Q1688
645461	Q1689
1178720	Q1690
725850	Q1691
1048781	Q1692
625242	Q1693
743190	Q1694
744919	Q1695
744916	Q1696
144099	Q1697
617009	Q1698
344371	Q1699
230805	Q1700
980883	Q1701
336084	Q1702
302096	Q1703
363336	Q1704
363333	Q1705
618944	Q1706
367829	Q1707
292981	Q1708
74987	Q1709
242417	Q1710
1052182	Q1711
64172	Q1712
1078289	Q1713
75538	Q1714
725045	Q1715
155671	Q1716
50641	Q1717
242879	Q1718
881423	Q1719
41338	Q1720
52528	Q1721
40710	Q1722
908671	Q1723
744536	Q1724
53440	Q1725
19821	Q1726
64466	Q1727
14445	Q1728
854548	Q1729
52498	Q1730
226422	Q1731
242465	Q1732
1044793	Q1733
890708	Q1734
1057818	Q1735
108330	Q1736
734724	Q1737
645416	Q1738
52537	Q1739
63853	Q1740
125165	Q1741
744957	Q1742
65518	Q1743
65893	Q1744
366495	Q1745
34269	Q1746
40708	Q1747
65551	Q1748
34088	Q1749
65511	Q1750
75897	Q1751
54527	Q1752
368431	Q1753
1097909	Q1754
111160	Q1755
33046	Q1756
65512	Q1757
744828	Q1758
993987	Q1759
41884	Q1760
1097917	Q1761
50486	Q1762
41131	Q1763
64547	Q1764
40786	Q1765
52602	Q1766
292550	Q1767
64764	Q1768
1131961	Q1769
44156	Q1770
41173	Q1771
50635	Q1772
73238	Q1773
46455	Q1774
40468	Q1775
65855	Q1776
35531	Q1777
45953	Q1778
328001	Q1779
741415	Q1780
50223	Q1781
263067	Q1782
64228	Q1783
49321	Q1784
226423	Q1785
103322	Q1786
945403	Q1787
62848	Q1788
368318	Q1789
290761	Q1790
142841	Q1791
144098	Q1792
144136	Q1793
290535	Q1794
337868	Q1795
290758	Q1796
1084016	Q1797
344370	Q1798
162874	Q1799
67846	Q1800
670478	Q1801
744603	Q1802
34476	Q1803
746934	Q1804
675676	Q1805
740511	Q1806
740508	Q1807
340058	Q1808
366959	Q1809
740510	Q1810
740512	Q1811
740509	Q1812
226882	Q1813
49358	Q1814
230806	Q1815
226883	Q1816
1020676	Q1817
944389	Q1818
944374	Q1819
944377	Q1820
1222158	Q1821
1032508	Q1822
1215873	Q1823
1176700	Q1824
221628	Q1825
239661	Q1826
512205	Q1827
334404	Q1828
143858	Q1829
970613	Q1830
512208	Q1831
1110662	Q1832
876866	Q1833
1103570	Q1834
