#	URI	file	categories	description
25	https://commons.wikimedia.org/entity/M98613531	File:Arizkungo harpa.jpg	Category:Basque traditional musical instruments|Category:Open harps	Arizkungo harpa. (JMBA soinu-tresnen bildumako 736.fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30735). Oiartzun, Soinuenea. 
26	https://commons.wikimedia.org/entity/M98613610	File:Zuberoako ttun-ttuna edo danburia.jpg	Category:Ttun-ttuna|Category:Basque traditional musical instruments|Category:String tambourines|Category:Ttun-ttun	Zuberoako ttun-ttuna edo danburia. (JMBA soinu-tresnen bildumako 132. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30131). Oiartzun, Soinuenea. 
27	https://commons.wikimedia.org/entity/M98613974	File:Bonbardino arrunta.jpg	Category:Euphonium|Category:Euphoniums|Category:Basque traditional musical instruments|Category:Trumpets|Category:Euphoniums	Bonbardino arrunta. (JMBA soinu-tresnen bildumako 576. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30575). Oiartzun, Soinuenea.
28	https://commons.wikimedia.org/entity/M98614152	File:Adarra (soinu-tresna).jpg	Category:Cowhorns|Category:Basque traditional musical instruments|Category:Natural horns|Category:Cowhorns	Adarra (soinu-tresna). (JMBA soinu-tresnen bildumako 232. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30231). Oiartzun, Soinuenea.
29	https://commons.wikimedia.org/entity/M98614355	File:Akordeoi kromatikoa.jpg	Category:Basque traditional musical instruments|Category:Accordions	Larrinaga Guerrini akordeoi kromatikoa. (JMBA soinu-tresnen bildumako 194. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30193). Oiartzun, Soinuenea.
30	https://commons.wikimedia.org/entity/M98614553	File:Xirolarru-boha.jpg	Category:Bagpipes|Category:Basque traditional musical instruments	Xirolarru-boha. (JMBA soinu-tresnen bildumako 110. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30109). Oiartzun, Soinuenea.
31	https://commons.wikimedia.org/entity/M98614656	File:Xirolarru-bota.jpg	Category:Bagpipes|Category:Basque traditional musical instruments	Xirolarru-bota. (JMBA soinu-tresnen bildumako 243. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30242). Oiartzun, Soinuenea.
32	https://commons.wikimedia.org/entity/M98614758	File:Errioxako eta Euskal Herriko xirolarru jotzaileen topaketa. Hernani, 2014-03-08.jpg	Category:Pipe bands from Spain|Category:Basque traditional musical instruments	Errioxako eta Euskal Herriko xirolarru jotzaileen topaketa. Hernani, 2014-03-08. (JMBA soinu-tresnen 243. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30242). Oiartzun, Soinuenea.
33	https://commons.wikimedia.org/entity/M98614966	File:Aho-soinu arrunta.jpg	Category:Basque traditional musical instruments|Category:Harmonicas	Aho-soinu arrunta. (JMBA soinu-tresnen bildumako 185. fitxa: https://www.soinuenea.eus/audioak/ver.php?id=eu&amp;er=30184). Oiartzun, Soinuenea.
34	https://commons.wikimedia.org/entity/M98621919	File:Gaita nafarra.jpg	Category:Dulzaina|Category:Dulzainas|Category:Dulzainas|Category:Basque traditional musical instruments	Moises Elizagak egindako gaita nafarra. (JMBA soinu-tresnen bildumako 191. fitxa: https://www.soinuenea.eus/eu/gaita-dulzaina-dultzaina/er-30190/). Oiartzun, Soinuenea.
