author,authorname,gender,affs,argitalpenak,year
https://wikibase.inguma.eus/entity/Q2861,Sara Peñasco Iglesias,female,Euskal Herriko Unibertsitatea,Ingurune aberastua: nerabezaroan alkoholarekin trataturiko C57BL6 saguen terapia eraginkorra?,2017
https://wikibase.inguma.eus/entity/Q2862,Ibane Aizpurua Perez,female,Euskal Herriko Unibertsitatea,Elkar Laguntza: berdinen arteko gizarte-laguntza esku-hartze baten eragina bularreko minbizia duten pazienteen aurre-egite estrategietan Aho-aurpegietako mina pairatzen duten pazienteengan emozioen mimika eta alde-identifikaziorako gaitasuna neurtzeko tresna digitalen diseinu eta inplementazioa,2017
https://wikibase.inguma.eus/entity/Q2872,Xabier Barrios Elcid,male,Euskal Herriko Unibertsitatea,Irudiaren konposizio digitala sorkuntza artistiko bezala,2017
https://wikibase.inguma.eus/entity/Q2873,Igor Rezola Iztueta,male,Euskal Herriko Unibertsitatea,Langile bat gehiago Lanaren kontrako (beste) lan-saiakera bat Auto-errealizazioak auto-esplotazioa esan nahi duenean,2017
https://wikibase.inguma.eus/entity/Q2874,Durk Gorter,male,Euskal Herriko Unibertsitatea,Euskara Donostiako hizkuntza-paisaian Lehen Hezkuntzako Ikasle Eleaniztunen Euskarari Buruzko Pertzepzioak Translanguaging Testuinguruan. Ikerketa Etnografiko bat,2017
https://wikibase.inguma.eus/entity/Q2880,Ainhoa Aizpurua Insausti,female,Euskal Herriko Unibertsitatea,"Etenak abiapuntu: bertsoetako eremu prosodikoez Silaben balio erritmikoa parekatzea: bertsoen azterketatik hurbilpen bat Euskarazko bat-bateko bertsoen erritmoa. Silabatzea, erritmo-ereduak eta taldekatzea Bokal triangeluaren erpinak. Bi bertsolari aztergai hitz lauz eta bertsotan",2017
https://wikibase.inguma.eus/entity/Q2883,Iker Salaberri Izko,male,Euskal Herriko Unibertsitatea,"Euskarazko bihurkarien historiaz: euskalki zaharrak aztergai Jose Ramon Minondo goizuetarraren gutunak: Olaberria (Oiartzun). 1790-1807. EDIZIOA eta HIZKUNTZA AZTERKETA ""Hebetic ioan gabe ene buruya"": zenbait gogoeta ""buru"" hitzaren erabilera anaforikoen eta bihurkarien diakroniaz Euskarazko bihurkarien historiaz: hizkuntza ukipena eta errepikapen gramatikalizazioa Ezeztapenaren hurrenkera euskal egitura perifrastikoetan: hurbilpen diakroniko-tipologikoa Aitzingermanikoaren hitz-ordena berreraikuntzaz: Adarkatze Norabide Teorian (ANT) oinarritutako hurbilpen tipologikoa Ignazio Bergara goizuetarraren gutunak. Arranbide (Arano) eta Elama (Artikutza). 1787-1811. Edizioa eta Hizkuntza Azterketa Euskarazko bihurkarien erabileraz: zergatia, aldakortasuna, eta ikuspegi alderatzailea",2017
https://wikibase.inguma.eus/entity/Q2898,Mikel Zubizarreta Irure,male,Euskal Herriko Unibertsitatea,Eraikuntza sektoreko enpresen berrikuntza maila neurtzeko modelo baten garapena Altzairu-egur petral hibridoen optimizazioa,2017
https://wikibase.inguma.eus/entity/Q2901,Aitor Josu Garrido Hernandez,male,Euskal Herriko Unibertsitatea,Aire-fluxuaren kontrol-estrategia itsasoko flotatzaile eolikoetan integratutako ur-zutabe oszilagarrien plataforma-egonkortasunerako Irakaskuntzaren berrikuntza: Berdinen arteko tutoretz Mutrikuko olatu zentralaren azterketa eta potentzia maximoko puntuaren jarraipena Ikaskuntza automatikoarekiko hurbilketa lau UZOdun UGHT eredua garatzeko Itsas aerosorgailu flotatzaileen oszilazioak murrizteko kontrol-teknika b,2017
https://wikibase.inguma.eus/entity/Q2902,Jon Lekube Galarza,male,Euskal Herriko Unibertsitatea,Mutrikuko olatu zentralaren azterketa eta potentzia maximoko puntuaren jarraipena,2017
https://wikibase.inguma.eus/entity/Q2904,Amaia Iturrondobeitia Ellakuria,female,Euskal Herriko Unibertsitatea,Litio-ioizko baterien funtzionamendua eta pouch cell motako prototipoen fabrikazioa,2017
https://wikibase.inguma.eus/entity/Q2907,Itxaso Aranzabal Sanatamaria,female,Euskal Herriko Unibertsitatea,"Autokontsumo elektrikoa: autokudeaketan oinarritutako energia-eredu berri baterantz Ibilgailu elektrikoen potentzia-bihurgailuen hozte-metodoak Ibilgailu elektriko, hibrido eta erregai-piladunak: teknologiaren egoera Posible da elektrifikazio industriala EAEn?",2017
https://wikibase.inguma.eus/entity/Q2908,Asier Matallana Fernandez,male,Euskal Herriko Unibertsitatea,"Ibilgailu elektrikoen potentzia-bihurgailuen hozte-metodoak Ibilgailu elektriko, hibrido eta erregai-piladunak: teknologiaren egoera Ibilgailu elektrikoaren inbertsore trifasikoa: betiereko ezezaguna",2017
https://wikibase.inguma.eus/entity/Q2909,David Cabezuelo Romero,male,Euskal Herriko Unibertsitatea,Ibilgailu elektrikoen potentzia-bihurgailuen hozte-metodoak,2017
https://wikibase.inguma.eus/entity/Q2917,Aitziber Iriondo Hernandez,female,Euskal Herriko Unibertsitatea,"""Ingeniaritzaren Oinarri Kimikoak"" irakasgaiari buruzko galdetegi interaktiboak. Ikasleeen erabilera eta gogobetetzea",2017
https://wikibase.inguma.eus/entity/Q2918,Ana de Luis Alvarez,female,Euskal Herriko Unibertsitatea,"""Ingeniaritzaren Oinarri Kimikoak"" irakasgaiari buruzko galdetegi interaktiboak. Ikasleeen erabilera eta gogobetetzea",2017
https://wikibase.inguma.eus/entity/Q2920,Maria Jose Garcia Lopez,female,Euskal Herriko Unibertsitatea,"Ingeniaritzan geometria lantzera bideratutako planteamendu baten azterketa eta gauzatzea Adierazpen grafikoa Ingeniaritza Zibilean. Plano akotatuen sistema Adierazpen grafikoa Ingeniaritza Zibilean. Sistema diedrikoa Adierazpen grafikoa Ingenieritza Zibilean : Plano Akotatuen Sistema Ingeniaritzako ikasleen sarrera profilaren araberako errendimenduaren analisia eta berau hobetzera bideratutako ikastaro birtual baten diseinua ""Ingeniaritzaren Oinarri Kimikoak"" irakasgaiari buruzko galdetegi interaktiboak. Ikasleeen erabilera eta gogobetetzea",2017
https://wikibase.inguma.eus/entity/Q2921,Arritokieta Ortuzar Iragorri,female,Euskal Herriko Unibertsitatea,"""Ingeniaritzaren Oinarri Kimikoak"" irakasgaiari buruzko galdetegi interaktiboak. Ikasleeen erabilera eta gogobetetzea",2017
https://wikibase.inguma.eus/entity/Q2922,Erik Macho Mier,male,Euskal Herriko Unibertsitatea,Mekanismo lauen sintesirako eta ikasketa zinematikorako irakaskuntza softwarea,2017
https://wikibase.inguma.eus/entity/Q2923,Monika Urizar Arana,female,Euskal Herriko Unibertsitatea,Mekanismo lauen sintesirako eta ikasketa zinematikorako irakaskuntza softwarea,2017
https://wikibase.inguma.eus/entity/Q2924,Mikel Diez Sanchez,male,Euskal Herriko Unibertsitatea,Mekanismo lauen sintesirako eta ikasketa zinematikorako irakaskuntza softwarea,2017
https://wikibase.inguma.eus/entity/Q2814,Fernando Benito Lopez,male,Euskal Herriko Unibertsitatea,Zelulen banan-banako atxikipena lortzeko Microcontact Printing teknikaren garapena Material biologikoen integrazioa teknologian: biosentsoreak Gailu mikro-fluidiko analitikoetarako osagaien garapen eta azterketa Diagnosi azkarrera bideratutako gailu mikro-fluidikoen garapen eta azterketa,2017
https://wikibase.inguma.eus/entity/Q2815,Jaione Etxebarria Elezgarai,female,Euskal Herriko Unibertsitatea,Diagnosi azkarrera bideratutako gailu mikro-fluidikoen garapen eta azterketa Gailu mikro-fluidiko analitikoetarako osagaien garapen eta azterketa Zelulen banan-banako atxikipena lortzeko Microcontact Printing teknikaren garapena,2017
https://wikibase.inguma.eus/entity/Q2816,Maite Garcia Hernando,female,Euskal Herriko Unibertsitatea,Zelulen banan-banako atxikipena lortzeko Microcontact Printing teknikaren garapena Materialen zientzia eta mikrofabrikazioa: gako tresnak monitorizazio kimiko eta zelularra burutzeko mikrosistemak garatzeko Material biologikoen integrazioa teknologian: biosentsoreak,2017
https://wikibase.inguma.eus/entity/Q2818,Aitor Medrano Peral,male,Euskal Herriko Unibertsitatea,Endokannabinoide sistemaren parte-hartzea arratoien garuntxoaren jaio osteko garapenean Glutamatoaren eta kannabinoideen neurohartzaileak hipokanpoko hilusean,2017
https://wikibase.inguma.eus/entity/Q2820,Gotzone Hervas Barbara,female,Euskal Herriko Unibertsitatea,"Unibertsitateko gazteen gorputz-osaerak, egoera fisikoak eta bizi-ohiturek hezur-zurruntasunarekin duten lotura Ariketa fisikoa hezur-dentsitate mineralaren suspertzaile Jarduera fisikoa eta gorputz-osaeraren eragina hezur-dentsitate mineralean",2017
https://wikibase.inguma.eus/entity/Q2821,Ignacio Garcia-Alonso Montoya,male,Euskal Herriko Unibertsitatea,"In vivo"" saiakerak kolon-ondesteko gibel metastasia hipertermia magnetikoaren bitartez tratatzeko",2017
